type_shoes3,adress3,image_link3,price3
Chaussures enfants,"Ouest Foire, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5606532_uploaded_image1_1762343319.jpg,5000.0
Chaussures enfants ,"Grand Dakar, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5584411_uploaded_image1_1761044461.jpg,5000.0
Baskets Adidas enfants ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5578754_uploaded_image1_1760708246.jpg,15000.0
Baskets Nike ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5568313_uploaded_image1_1760122555.jpg,14000.0
Chaussures enfants,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5556000_uploaded_image1_1759458374.jpg,18000.0
Chaussures enfant,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5555999_uploaded_image1_1759458125.jpg,2000.0
Baskets Nike TN pour enfants,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5553767_uploaded_image1_1759362000.jpg,20000.0
Chaussures Jordan enfants,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5551856_uploaded_image1_1759301538.jpg,20000.0
Chaussures Jordan enfants,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5551836_uploaded_image1_1759300588.jpg,20000.0
Chaussures enfants,"Mbao, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5545268_uploaded_image1_1758910584.jpg,5000.0
Chaussures enfant,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5542655_uploaded_image1_1758784796.jpg,10718.75
Chaussures enfant,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5542653_uploaded_image1_1758784644.jpg,10718.75
Chaussures enfants,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5540293_uploaded_image1_1758655238.jpg,10718.75
Chaussures enfants ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5515698_uploaded_image1_1757382428.jpg,18000.0
Chaussures enfants ,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5515694_uploaded_image1_1757382135.jpg,15000.0
Chaussures pour enfants ,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5512056_uploaded_image1_1757170918.jpg,15000.0
Chaussures enfants et bébés,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5507047_uploaded_image1_1756915193.jpg,20000.0
Chaussures enfants ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5503839_uploaded_image1_1756775841.jpg,10718.75
Chaussures enfants ,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5503837_uploaded_image2_1756775448.jpeg,10718.75
Chaussures enfants,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5494505_uploaded_image1_1756248709.jpg,10718.75
Bottes de pluie pour fille de 3 ans,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5491455_uploaded_image1_1756082236.jpg,15000.0
Chaussures enfants,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg,7000.0
Chaussures enfants,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5416767_uploaded_image1_1752155258.jpg,7000.0
Chaussures enfants,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5388880_uploaded_image1_1750707623.jpg,8000.0
Chaussures enfants ,"Ouakam, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5327025_uploaded_image1_1747213897.jpg,10718.75
Chaussures enfants ,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5323154_uploaded_image1_1747018204.jpg,15000.0
Chaussures enfants,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5294713_uploaded_image1_1745421584.jpg,3500.0
Chaussures enfants,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5294302_uploaded_image1_1745410325.jpg,3500.0
Chaussures enfant,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5284799_uploaded_image1_1744814056.jpg,18000.0
Chaussures enfant,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5284783_uploaded_image1_1744813725.jpg,18000.0
Chaussures pour enfants ,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5269411_uploaded_image1_1744009165.jpg,15000.0
Chaussures enfants,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5253810_uploaded_image1_1743097199.jpg,2000.0
Chaussures enfants ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5231318_uploaded_image1_1741923251.jpg,20000.0
