type_shoes,adress1,image_link1,price1
Nike Air Max moto ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5658152_uploaded_image1_1764971196.jpg,25000.0
Nice Air Max ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5658154_uploaded_image1_1764971268.jpg,25000.0
Baskets Nike Air Max moto,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5658145_uploaded_image1_1764970934.jpg,25000.0
Baskets Adidas samba ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656549_uploaded_image1_1764883907.jpg,20000.0
Baskets Fendi,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656541_uploaded_image1_1764883603.jpg,22000.0
Baskets Nike nocta,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656544_uploaded_image1_1764883707.jpg,25000.0
Baskets Louis vuitton ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656538_uploaded_image1_1764883544.jpg,22000.0
Baskets Jordan 1,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656536_uploaded_image1_1764883328.jpg,25000.0
Louis vuitton skate,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656527_uploaded_image1_1764883123.jpg,25000.0
Dior cd,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656533_uploaded_image1_1764883235.jpg,25000.0
Asic Gel Nyc ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656524_uploaded_image1_1764883061.jpg,25000.0
Baskets Air force 1 montante ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656516_uploaded_image1_1764882787.jpg,17000.0
New Balance ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656513_uploaded_image1_1764882662.jpg,25000.0
Baskets Jordan 3 rétro ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5658114_uploaded_image1_1764969274.jpg,20000.0
New Balance Fuel cell,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656501_uploaded_image1_1764882356.jpg,25000.0
Baskets Nike P6000,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656495_uploaded_image1_1764882253.jpg,25000.0
Baskets Air force 1 ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656505_uploaded_image1_1764882446.jpg,19000.0
Baskets Jordan 3,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656508_uploaded_image1_1764882568.jpg,20000.0
Baskets Air force 1,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656488_uploaded_image1_1764881966.jpg,13000.0
Baskets Nike TN,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656485_uploaded_image1_1764881869.jpg,17000.0
Baskets Timberland ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656479_uploaded_image1_1764881761.jpg,30000.0
Baskets Jordan 4 rétro,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656461_uploaded_image1_1764881200.jpg,25000.0
Baskets Air Max 95,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656457_uploaded_image1_1764881079.jpg,20000.0
Baskets Saucony,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656454_uploaded_image1_1764880975.jpg,25000.0
Sandale Dior alpha,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656452_uploaded_image1_1764880848.jpg,17000.0
Baskets Louis Vuitton,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656449_uploaded_image1_1764880744.jpg,25000.0
Baskets Asic 1130,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656446_uploaded_image1_1764880658.jpg,25000.0
Baskets New Balance 740,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656445_uploaded_image1_1764880538.jpg,25000.0
Asic kayono 14,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656440_uploaded_image1_1764880329.jpg,25000.0
Asic kayono,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656438_uploaded_image1_1764880204.jpg,25000.0
Louis vuitton alden,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5659605_uploaded_image1_1765061738.jpg,25000.0
Chaussures hommes,"Diamalaye 1, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5659092_uploaded_image1_1765032622.jpg,15000.0
Chaussures Berluti,"Diamalaye 1, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5659090_uploaded_image1_1765032457.jpg,15000.0
Chaussures,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5658676_uploaded_image1_1765012272.jpg,12000.0
Baskets Nike Air Max 95,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5609154_uploaded_image1_1762451266.jpg,20000.0
Baskets Nike,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656286_uploaded_image1_1764873140.jpg,12000.0
Chaussures homme ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5656226_uploaded_image1_1764870869.jpg,18366.666666666668
Chaussures homme,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5654964_uploaded_image1_1764815249.jpg,20000.0
Chaussures,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5654962_uploaded_image1_1764815112.jpg,20000.0
Chaussures homme,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5654945_uploaded_image1_1764813406.jpg,18366.666666666668
Baskets Nocta,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5653847_uploaded_image1_1764763835.jpg,25000.0
Chaussures Louis Vuitton,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5653840_uploaded_image1_1764763564.jpg,25000.0
Chaussures Friperie,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5647291_uploaded_image1_1764432742.jpg,4000.0
Chaussures avec chapeau ,"Grand Dakar, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5646405_uploaded_image1_1764371847.jpg,8000.0
Chaussures avec chapeau ,"Grand Dakar, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5646401_uploaded_image1_1764371645.jpg,8000.0
Chaussures,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5642098_uploaded_image1_1764157446.jpg,10000.0
Chaussures,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5640323_uploaded_image1_1764078277.jpg,10000.0
Chaussures,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5640318_uploaded_image1_1764078147.jpg,12000.0
Chaussures,"Diamalaye 1, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5640260_uploaded_image1_1764076783.jpg,15000.0
Chaussures,"Diamalaye 1, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-hommehttps://images.coinafrique.com/thumb_5640258_uploaded_image1_1764076664.jpg,15000.0
