web_scraper_order,web_scraper_start_url,image_link,address,price,type shoes
"1765137106-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5145823_uploaded_image1_1737473366.jpg","Dakar Plateau, Dakar, Sénégal","20 000CFA","Tout terrain"
"1765137106-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5145826_uploaded_image1_1737473583.jpg","Dakar Plateau, Dakar, Sénégal","15 000CFA","Chaussures de ville"
"1765137106-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5145127_uploaded_image1_1737450607.jpg","Dakar Plateau, Dakar, Sénégal","20 000CFA","chaussure ouverte"
"1765137106-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5145122_uploaded_image1_1737450413.jpg","Dakar Plateau, Dakar, Sénégal","18 000CFA","mocassin alden"
"1765137106-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5145116_uploaded_image1_1737450247.jpg","Dakar Plateau, Dakar, Sénégal","15 000CFA","mocassin classique"
"1765137106-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5144361_uploaded_image1_1737399759.jpg","Dakar Plateau, Dakar, Sénégal","10 000CFA","Mocassin pierre cardin"
"1765137106-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5175476_uploaded_image1_1738955928.jpg","Keur Massar, Sénégal","10 000CFA","Chaussures Jordan 11"
"1765137106-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5127678_uploaded_image1_1736452468.jpg","Colobane, Dakar, Sénégal","15 000CFA","Sandales Gucci"
"1765137106-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5127684_uploaded_image1_1736452819.jpg","Colobane, Dakar, Sénégal","15 000CFA","Sandales Gucci"
"1765137106-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5127688_uploaded_image1_1736452967.jpg","Colobane, Dakar, Sénégal","15 000CFA","Sandales Burbery"
"1765137106-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5171907_uploaded_image1_1738783067.jpg","Grand Yoff, Dakar, Sénégal","15 000CFA","Chaussures Daim"
"1765137106-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5171903_uploaded_image1_1738782841.jpg","Grand Yoff, Dakar, Sénégal","22 000CFA","Chaussures Berluti"
"1765137106-13","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5171902_uploaded_image1_1738782763.jpg","Grand Yoff, Dakar, Sénégal","22 000CFA","Chaussures Berluti"
"1765137106-14","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5171892_uploaded_image1_1738782485.jpg","Grand Yoff, Dakar, Sénégal","22 000CFA","Chaussures homme"
"1765137106-15","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5171888_uploaded_image1_1738782369.jpg","Grand Yoff, Dakar, Sénégal","25 000CFA","Chaussures homme"
"1765137106-16","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5171845_uploaded_image1_1738780968.jpg","Yoff, Dakar, Sénégal","20 000CFA","Chaussures homme"
"1765137106-17","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5171780_uploaded_image1_1738777579.jpg","Dakar, Sénégal","10 000CFA","Chaussures fermées"
"1765137106-18","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5169941_uploaded_image1_1738689816.jpg","Dakar, Sénégal","15 000CFA","Chaussures hommes"
"1765137106-19","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5168368_uploaded_image1_1738628934.jpg","Grand Dakar, Dakar, Sénégal","40 000CFA","Sneakers New Balance 9060"
"1765137106-20","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5166529_uploaded_image2_1738570827.jpeg","Guediawaye, Dakar, Sénégal","Prix sur demande","Chaussures orthopédiques en cuir"
"1765137106-21","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5165863_uploaded_image1_1738523413.jpg","Dakar, Sénégal","25 000CFA","Chaussures homme"
"1765137106-22","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5165861_uploaded_image1_1738523279.jpg","Dakar, Sénégal","12 000CFA","Chaussures homme"
"1765137106-23","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5165858_uploaded_image1_1738523003.jpg","Dakar, Sénégal","25 000CFA","Chaussures homme"
"1765137106-24","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5165856_uploaded_image1_1738522870.jpg","Dakar, Sénégal","13 000CFA","Chaussures homme"
"1765137106-25","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5165685_uploaded_image1_1738516030.jpg","Diamalaye 1, Dakar, Sénégal","12 000CFA","Chaussures hommes"
"1765137106-26","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5165588_uploaded_image1_1738510508.jpg","Diamalaye 1, Dakar, Sénégal","15 000CFA","Chaussures hommes"
"1765137106-27","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5165587_uploaded_image1_1738510455.jpg","Diamalaye 1, Dakar, Sénégal","15 000CFA","Chaussures hommes"
"1765137106-28","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5164976_uploaded_image1_1738461387.jpg","Dakar, Sénégal","20 000CFA","Chaussures Louis Vuitton"
"1765137106-29","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5164401_uploaded_image1_1738425286.jpg","Yoff, Dakar, Sénégal","Prix sur demande","Chaussures homme"
"1765137106-30","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5163774_uploaded_image1_1738401744.jpg","Dakar, Sénégal","25 000CFA","Bottes homme"
"1765137106-31","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5115555_uploaded_image1_1735817188.jpg","Fass, Dakar, Sénégal","20 000CFA","Chaussures homme"
"1765137106-32","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5115549_uploaded_image1_1735816929.jpg","Fass, Dakar, Sénégal","20 000CFA","Chaussures homme"
"1765137106-33","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5160982_uploaded_image1_1738247854.jpg","Dakar, Sénégal","25 000CFA","Chaussures New balance"
"1765137106-34","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5160860_uploaded_image1_1738243354.jpg","Dakar, Sénégal","38 000CFA","Chaussures homme"
"1765137106-35","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5159221_uploaded_image1_1738162375.jpg","Dakar, Sénégal","20 000CFA","Chaussures homme"
"1765137106-36","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5157556_uploaded_image1_1738081427.jpg","Dakar, Sénégal","2 400CFA","Chaussures hommes"
"1765137106-37","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5157552_uploaded_image1_1738081319.jpg","Dakar, Sénégal","55 000CFA","Chaussures Timberlands"
"1765137106-38","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5157548_uploaded_image1_1738081163.jpg","Dakar, Sénégal","25 000CFA","Chaussures hommes"
"1765137106-39","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5157546_uploaded_image1_1738081046.jpg","Dakar, Sénégal","25 000CFA","Chaussures hommes"
"1765137106-40","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5157484_uploaded_image1_1738078792.jpg","Dakar Plateau, Dakar, Sénégal","25 000CFA","Chaussures  homme"
"1765137106-41","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5155951_uploaded_image1_1738005577.jpg","Hann Bel-Air, Dakar, Sénégal","35 000CFA","Chaussures Jordan"
"1765137106-42","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5153222_uploaded_image1_1737841616.jpg","Dakar, Sénégal","32 000CFA","Baskets New balance et Adidas campus"
"1765137106-43","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5153219_uploaded_image1_1737841467.jpg","Dakar, Sénégal","30 000CFA","Chaussures Travis schot"
"1765137106-44","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5153216_uploaded_image1_1737841359.jpg","Dakar, Sénégal","25 000CFA","Baskets Adidas gazelle"
"1765137106-45","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5153210_uploaded_image1_1737841100.jpg","Dakar, Sénégal","50 000CFA","Timberlands"
"1765137106-46","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5153207_uploaded_image1_1737840913.jpg","Dakar, Sénégal","25 000CFA","Chaussures Bakhdad shoes"
"1765137106-47","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5152932_uploaded_image1_1737822003.jpg","Colobane, Dakar, Sénégal","25 000CFA","Chaussures homme"
"1765137106-48","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5152904_uploaded_image1_1737820421.jpg","Colobane, Dakar, Sénégal","35 000CFA","Chaussures homme"
"1765137106-49","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5152563_uploaded_image1_1737805034.jpg","Grand Dakar, Dakar, Sénégal","15 000CFA","Chaussures homme"
"1765137106-50","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5151881_uploaded_image1_1737752495.jpg","Medina, Dakar, Sénégal","Prix sur demande","Chaussures Adidas"
"1765137106-51","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5150663_uploaded_image1_1737692759.jpg","Dakar, Sénégal","30 000CFA","Chaussures Timberland"
"1765137106-52","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5150532_uploaded_image1_1737681617.jpg","Fann, Dakar, Sénégal","30 000CFA","Chaussures Timberland"
"1765137106-53","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5149979_uploaded_image1_1737655711.jpg","Grand Yoff, Dakar, Sénégal","15 000CFA","Chaussures homme"
"1765137106-54","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5147842_uploaded_image1_1737560986.jpg","Parcelle Assainies, Dakar, Sénégal","25 000CFA","Chaussures Jordan 11"
"1765137106-55","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5145861_uploaded_image1_1737475001.jpg","Sicap Liberté, Dakar, Sénégal","28 000CFA","Chaussures homme"
"1765137106-56","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5145824_uploaded_image1_1737473368.jpg","Sicap Liberté, Dakar, Sénégal","15 000CFA","Chaussures Nike"
"1765137106-57","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5145813_uploaded_image1_1737473121.jpg","Sicap Liberté, Dakar, Sénégal","25 000CFA","Chaussures Nike"
"1765137106-58","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5145720_uploaded_image1_1737470265.jpg","Sicap Liberté, Dakar, Sénégal","15 000CFA","Chaussures Nike"
"1765137106-59","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5145714_uploaded_image1_1737470139.jpg","Sicap Liberté, Dakar, Sénégal","20 000CFA","Chaussures Adidas"
"1765137106-60","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5145706_uploaded_image1_1737469975.jpg","Sicap Liberté, Dakar, Sénégal","30 000CFA","Chaussures Puma"
"1765137106-61","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5145643_uploaded_image1_1737467967.jpg","Sicap Liberté, Dakar, Sénégal","15 000CFA","Chaussures homme"
"1765137106-62","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5143550_uploaded_image1_1737371274.jpg","Dakar, Sénégal","43 000CFA","Baskets Alexandre McQueen"
"1765137106-63","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5142907_uploaded_image1_1737320376.jpg","Yoff, Dakar, Sénégal","Prix sur demande","Chaussures homme"
"1765137106-64","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5141203_uploaded_image1_1737204782.jpg","Medina, Dakar, Sénégal","15 000CFA","Chaussures homme"
"1765137106-65","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5138888_uploaded_image1_1737064702.jpg","Colobane, Dakar, Sénégal","40 000CFA","Chaussures homme"
"1765137106-66","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5138404_uploaded_image1_1737043207.jpg","Ouest Foire, Dakar, Sénégal","25 000CFA","Chaussures homme"
"1765137106-67","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","https://images.coinafrique.com/thumb_5138351_uploaded_image1_1737041315.jpg","Ouest Foire, Dakar, Sénégal","25 000CFA","Chaussures homme"
