web_scraper_order,web_scraper_start_url,image_link,address,price,type habits
"1765137863-1","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4963797_uploaded_image1_1727380057.jpg","Dakar, Sénégal","7 000CFA","Ensemble Short homme"
"1765137863-2","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4963767_uploaded_image1_1727377903.jpg","Medina, Dakar, Sénégal","7 000CFA","Pantalon Jogging"
"1765137863-3","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4963765_uploaded_image1_1727377824.jpg","Medina, Dakar, Sénégal","7 000CFA","Pantalon Jogging"
"1765137863-4","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4961750_uploaded_image1_1727279379.jpg","Dakar, Sénégal","10 000CFA","Lot de 4 t-shirts"
"1765137863-5","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4960122_uploaded_image1_1727202601.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","30 000CFA","Vêtements homme"
"1765137863-6","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4960116_uploaded_image1_1727202422.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","30 000CFA","Vêtements homme"
"1765137863-7","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4954564_uploaded_image1_1726904707.jpg","Yoff, Dakar, Sénégal","Prix sur demande","Vêtements homme"
"1765137863-8","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4954449_uploaded_image1_1726886933.jpg","Hann Bel-Air, Dakar, Sénégal","18 500CFA","Vêtements homme"
"1765137863-9","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4953901_uploaded_image1_1726853607.jpg","Grand Dakar, Dakar, Sénégal","45 000CFA","Ensemble homme"
"1765137863-10","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4953671_uploaded_image1_1726842317.jpg","Dakar Plateau, Dakar, Sénégal","10 000CFA","Djellaba"
"1765137863-11","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4953322_uploaded_image1_1726828595.jpg","Dakar, Sénégal","10 000CFA","Vêtements homme"
"1765137863-12","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4951039_uploaded_image1_1726716809.jpg","Ouest Foire, Dakar, Sénégal","13 000CFA","Caleçons"
"1765137863-13","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4949115_uploaded_image1_1726606774.jpg","Dakar, Sénégal","18 500CFA","Tunique homme"
"1765137863-14","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4935741_uploaded_image1_1725901365.jpg","Dakar Plateau, Dakar, Sénégal","13 000CFA","Ensemble  homme"
"1765137863-15","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4935746_uploaded_image1_1725901530.jpg","Dakar Plateau, Dakar, Sénégal","13 000CFA","Ensemble  homme"
"1765137863-16","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4935734_uploaded_image1_1725901081.jpg","Dakar Plateau, Dakar, Sénégal","13 000CFA","Ensemble homme"
"1765137863-17","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4935732_uploaded_image1_1725901036.jpg","Dakar Plateau, Dakar, Sénégal","13 000CFA","Ensemble homme"
"1765137863-18","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4935721_uploaded_image1_1725900754.jpg","Dakar Plateau, Dakar, Sénégal","8 000CFA","Pantalon Kaki"
"1765137863-19","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4935723_uploaded_image1_1725900821.jpg","Dakar Plateau, Dakar, Sénégal","Prix sur demande","Pour homme"
"1765137863-20","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4935718_uploaded_image1_1725900693.jpg","Dakar Plateau, Dakar, Sénégal","13 000CFA","Ensemble homme"
"1765137863-21","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4935729_uploaded_image1_1725900923.jpg","Dakar Plateau, Dakar, Sénégal","6 500CFA","Polo Lacoste"
"1765137863-22","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4935708_uploaded_image1_1725900452.jpg","Dakar Plateau, Dakar, Sénégal","6 500CFA","Polo Lacoste"
"1765137863-23","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4909550_uploaded_image1_1724513302.jpg","Dakar Plateau, Dakar, Sénégal","6 500CFA","Chemise homme"
"1765137863-24","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4942743_uploaded_image1_1726229198.jpg","Dakar Plateau, Dakar, Sénégal","12 000CFA","Getzner Super Manium gold"
"1765137863-25","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4942741_uploaded_image1_1726229155.jpg","Dakar Plateau, Dakar, Sénégal","5 000CFA","T-shirt coton"
"1765137863-26","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4942716_uploaded_image1_1726228729.jpg","Dakar Plateau, Dakar, Sénégal","13 000CFA","Ensemble  homme"
"1765137863-27","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4942704_uploaded_image1_1726228583.jpg","Dakar Plateau, Dakar, Sénégal","160 000CFA","Ensemble  homme"
"1765137863-28","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4942724_uploaded_image1_1726228813.jpg","Dakar Plateau, Dakar, Sénégal","6 500CFA","T-shirt coton"
"1765137863-29","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4942710_uploaded_image1_1726228614.jpg","Dakar Plateau, Dakar, Sénégal","13 000CFA","Ensemble homme"
"1765137863-30","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4942725_uploaded_image1_1726228846.jpg","Dakar Plateau, Dakar, Sénégal","6 000CFA","Culotte"
"1765137863-31","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4942713_uploaded_image1_1726228693.jpg","Dakar Plateau, Dakar, Sénégal","6 000CFA","Chemise homme"
"1765137863-32","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4942729_uploaded_image1_1726228909.jpg","Dakar Plateau, Dakar, Sénégal","7 000CFA","Jean homme"
"1765137863-33","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4902275_uploaded_image1_1724109867.jpg","Dakar Plateau, Dakar, Sénégal","13 000CFA","Ensemble  homme"
"1765137863-34","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4902277_uploaded_image1_1724109919.jpg","Dakar Plateau, Dakar, Sénégal","13 000CFA","Ensemble  homme"
"1765137863-35","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4902271_uploaded_image1_1724109778.jpg","Dakar Plateau, Dakar, Sénégal","13 000CFA","Ensemble femme"
"1765137863-36","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4902268_uploaded_image1_1724109660.jpg","Dakar Plateau, Dakar, Sénégal","Prix sur demande","Ensemble homme"
"1765137863-37","https://sn.coinafrique.com/categorie/vetements-homme?page=10","https://images.coinafrique.com/thumb_4899578_uploaded_image1_1723936185.jpg","Dakar Plateau, Dakar, Sénégal","13 000CFA","Ensemble  homme"
