web_scraper_order,web_scraper_start_url,image_link,address,price,type clothes
"1765138261-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3024581_uploaded_image1_1616870758.jpg","HLM, Dakar, Sénégal","9 500CFA","Ensemble pour bébé"
"1765138261-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3019124_uploaded_image1_1616606467.jpg","Dakar, Sénégal","Prix sur demande","Vêtements pour enfant de 0 à 13ans"
"1765138261-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3017358_uploaded_image1_1616523355.jpg","Colobane, Dakar, Sénégal","2 000CFA","Ensemble chemise - pantalon enfant"
"1765138261-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3017355_uploaded_image1_1616523288.jpg","Colobane, Dakar, Sénégal","2 000CFA","Pantalon jeans enfants"
"1765138261-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3013660_uploaded_image1_1616353788.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","3 000CFA","Vêtements enfant"
"1765138261-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3013647_uploaded_image1_1616353124.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","3 500CFA","Vêtements bébé"
"1765138261-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3012395_uploaded_image1_1616265641.jpg","Colobane, Dakar, Sénégal","6 000CFA","Pantalon jeans friperie enfants"
"1765138261-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3012391_uploaded_image1_1616265553.jpg","Colobane, Dakar, Sénégal","5 000CFA","Ensemble chemise - pantalon jeans friperie"
"1765138261-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3012387_uploaded_image1_1616265415.jpg","Colobane, Dakar, Sénégal","3 000CFA","Pantalon jeans friperie"
"1765138261-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3008320_uploaded_image1_1616068246.jpg","HLM, Dakar, Sénégal","Prix sur demande","Grenouillère bébé"
"1765138261-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3000888_uploaded_image1_1615698089.jpg","Dakar, Sénégal","Prix sur demande","Lot de vêtements friperie de 0 à 12ans"
"1765138261-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2997124_uploaded_image1_1615491439.jpg","Dieuppeul-Derklé, Dakar, Sénégal","8 000CFA","Ensemble maillots enfants"
"1765138261-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2991324_uploaded_image1_1615228431.jpg","Parcelle Assainies, Dakar, Sénégal","15 000CFA","Robes filles"
