type_clothes,adress2,image_link2,price2
Pantalon pour enfants original,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5636849_uploaded_image1_1763913455.jpg,8000.0
Emsemble coton pour enfants,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5636847_uploaded_image1_1763913261.jpg,7000.0
Robe brodée ,"Pikine, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5657323_uploaded_image1_1764934741.jpg,6000.0
Robe lin,"Pikine, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5657317_uploaded_image1_1764934579.jpg,6000.0
Robe,"Pikine, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5657313_uploaded_image1_1764934382.jpg,7000.0
Sous vêtements ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5550798_uploaded_image1_1759251038.jpg,1522765.1515151516
Ensemble coton pour enfants de 3ans 7ans,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5549301_uploaded_image1_1759186593.jpg,4000.0
Lacoste coton pour enfants de 3ans à 16ans,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5549305_uploaded_image1_1759186714.jpg,3500.0
Pantalon jeans ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5532285_uploaded_image1_1758208106.jpg,1522765.1515151516
Lacoste coton pour enfants,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5532289_uploaded_image1_1758208206.jpg,1522765.1515151516
Vêtements enfants ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5532267_uploaded_image1_1758207469.jpg,1522765.1515151516
Pantalon pour enfants,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5532277_uploaded_image1_1758207853.jpg,1522765.1515151516
Short enfants ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5532259_uploaded_image1_1758207295.jpg,6000.0
Ensemble dêbadeur enfants,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5524248_uploaded_image1_1757797576.jpg,2500.0
Ensemble costume pour enfants,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5528024_uploaded_image1_1758018544.jpg,35000.0
Pantalon  enfant ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5528006_uploaded_image1_1758017811.jpg,100000000.0
Friperie enfants,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5528003_uploaded_image1_1758017605.jpg,1522765.1515151516
Ensembles lacost pour garçon ,"Mbao, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5524048_uploaded_image1_1757787175.jpg,3000.0
Vêtements pour enfants,"Mbao, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5520989_uploaded_image1_1757622885.jpg,3500.0
Vêtements pour enfants,"Mbao, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5520983_uploaded_image1_1757622690.jpg,4000.0
Vêtements pour enfants,"Mbao, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5520979_uploaded_image1_1757622379.jpg,3500.0
Vêtements pour enfants,"Mbao, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5520806_uploaded_image1_1757613666.jpg,3500.0
Ensemble bas-large,"Medina, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5478990_uploaded_image1_1755394245.jpg,6000.0
Robe nuafna mélange géginer,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5427239_uploaded_image1_1752708596.jpg,10000.0
Vêtements d'été pour fille,"Mbao, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5428559_uploaded_image1_1752775679.jpg,3500.0
Djalabé pour enfants,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5374426_uploaded_image1_1749913743.jpg,10000.0
Vêtements enfants,"Sicap Liberté, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5411543_uploaded_image1_1751909046.jpg,3500.0
Ensemble pour jeune fille,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5365674_uploaded_image1_1749416491.jpg,10000.0
Robe enfant,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5364583_uploaded_image1_1749330317.jpg,7000.0
Robe enfant ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5364552_uploaded_image1_1749328164.jpg,8000.0
Ensemble short enfant,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5364545_uploaded_image1_1749327684.jpg,8000.0
Robe pour enfants,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5344465_uploaded_image1_1748167330.jpg,7000.0
Robe ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5344473_uploaded_image1_1748167713.jpg,10000.0
Polo Lacoste pour enfants,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5344468_uploaded_image1_1748167535.jpg,4000.0
Emsemble pour enfants 3 pièces,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5344462_uploaded_image1_1748167236.jpg,8000.0
Ensemble pour enfants de 1ans à 3ans,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5342641_uploaded_image1_1748035425.jpg,7000.0
Ensemble pour enfants de 2ans a 6ans coton,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5342650_uploaded_image1_1748035854.jpg,7000.0
Ensemble pour enfants de 2ans a 12ans,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5342643_uploaded_image1_1748035562.jpg,7000.0
Ensemble pour enfants de 3ans jusqu'à 8ans,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5342638_uploaded_image1_1748035029.jpg,7000.0
Ensemble pour enfants 6mois à 4ans,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5342633_uploaded_image1_1748034778.jpg,4000.0
Ensemble pour enfants coton,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5342628_uploaded_image1_1748034550.jpg,7000.0
