type_habits,adress,image_link,price
Djialab coton,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5648803_uploaded_image1_1764526181.jpg,25000.0
Emsemble,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5636850_uploaded_image1_1763913590.jpg,11522.784810126583
Jacket en jeans ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657793_uploaded_image1_1764952502.jpg,12000.0
Ensemble homme,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5640578_uploaded_image1_1764085646.jpg,15000.0
Djalabeh ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657723_uploaded_image1_1764949964.jpg,10000.0
Djalabeh ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657721_uploaded_image1_1764949913.jpg,12000.0
Caleçons ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657705_uploaded_image1_1764949059.jpg,1000.0
Chemise,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657708_uploaded_image1_1764949263.jpg,7000.0
Pantalon kaki ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657707_uploaded_image1_1764949208.jpg,8000.0
Pull-over ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657710_uploaded_image1_1764949465.jpg,7000.0
Jacket ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657709_uploaded_image1_1764949418.jpg,14000.0
Gilet,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657703_uploaded_image1_1764948943.jpg,8000.0
Blouson longue manche ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5635318_uploaded_image1_1763821463.jpg,6000.0
Collants Nike,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5635312_uploaded_image1_1763821085.jpg,4000.0
Blouson ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5635309_uploaded_image1_1763820983.jpg,9000.0
Ensemble longue manche,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5635299_uploaded_image1_1763820328.jpg,6000.0
Blouson ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657571_uploaded_image1_1764942132.jpg,20000.0
Ensemble homme ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657576_uploaded_image1_1764942384.jpg,20000.0
Ensemble coton,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5635259_uploaded_image1_1763818705.jpg,7500.0
Ensemble longue manche,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5635224_uploaded_image1_1763816701.jpg,6000.0
Pull ,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5635943_uploaded_image1_1763859233.jpg,10000.0
T-shirt unique en coton,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5658191_uploaded_image1_1764973421.jpg,3000.0
Ensemble femme ,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5624977_uploaded_image1_1763325894.jpg,15000.0
Emsemble 100℅ coton ,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5624968_uploaded_image1_1763325481.jpg,15000.0
Polo manches courtes,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5656710_uploaded_image1_1764890772.jpg,6000.0
Costume wax homme,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5655663_uploaded_image1_1764851829.jpg,11522.784810126583
Polos homme,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5655261_uploaded_image1_1764838352.jpg,2800.0
Ensembles blouson,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5653962_uploaded_image1_1764767662.jpg,25000.0
Blouson,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5652008_uploaded_image1_1764676040.jpg,25000.0
Ensemble courte manche homme,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5648700_uploaded_image1_1764522517.jpg,9000.0
Jeans homme ,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5647708_uploaded_image1_1764461524.jpg,15000.0
Jeans homme ,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5647705_uploaded_image1_1764461139.jpg,15000.0
Vêtements homme,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5640522_uploaded_image1_1764084134.jpg,10000.0
Jackets homme,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5636688_uploaded_image1_1763904711.jpg,12000.0
